timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716867668822,2431,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,21426,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1700&TO=812&STNM=72440,2430,0,621
1716867671955,2634,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,21200,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2100&TO=2112&STNM=94866,2633,0,617
1716867670412,4860,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,619723,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=500&TO=2812&STNM=72672,4086,0,616
1716867675557,1206,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,10969,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2400&TO=1712&STNM=60390,1206,0,592
1716867677987,3734,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,145449,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=200&TO=912&STNM=93112,3352,0,643
1716867680283,1748,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,181724,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2100&TO=2512&STNM=72440,1360,0,604
1716867679042,4189,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,12537,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1700&TO=412&STNM=72672,4189,0,634
1716867680159,5197,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,178077,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=700&TO=1512&STNM=94866,4819,0,591
1716867684336,1400,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,3623,208,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=500&TO=412&STNM=26477,1400,0,638
1716867680051,8678,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,468792,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=300&TO=2612&STNM=93112,7943,0,603
1716867685901,3627,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,9645,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1600&TO=812&STNM=60390,3627,0,604
1716867686675,3129,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,11991,210,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1500&TO=1212&STNM=72672,3129,0,633
1716867689526,2689,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,8245,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2300&TO=412&STNM=26477,2689,0,632
1716867693881,5119,University of Wyoming - Sonde Page,200,OK,Main Group 1-2,text,true,,19785,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1200&TO=712&STNM=72440,5117,0,594
1716867695432,3914,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,1184,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=2700&TO=112&STNM=93112,3914,0,631
1716867693050,6355,University of Wyoming - Sonde Page,200,OK,Main Group 1-3,text,true,,207228,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=100&TO=1012&STNM=94866,5971,0,631
1716867695479,5160,University of Wyoming - Sonde Page,200,OK,Main Group 1-5,text,true,,304171,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=200&TO=1612&STNM=94866,4598,0,622
1716867697061,5294,University of Wyoming - Sonde Page,200,OK,Main Group 1-4,text,true,,606853,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=400&TO=2712&STNM=72672,4541,0,624
1716867703300,1121,University of Wyoming - Sonde Page,200,OK,Main Group 1-1,text,true,,1182,209,5,5,https://weather.uwyo.edu/cgi-bin/sounding?region=pac&TYPE=TEXT%3ALIST&YEAR=2024&MONTH=01&FROM=1800&TO=912&STNM=93112,1120,0,601
